word,freq,hatebase,terms
nicht,39225,True,False
property,16271,True,False
avec,15392,True,False
ka,12559,True,False
muslim,9413,True,False
india,4232,True,False
slaves,3446,True,False
bor,3034,True,False
sole,2840,True,False
queen,2785,True,False
slave,2518,True,False
ghetto,2476,True,False
gypsies,2058,True,True
bird,1951,True,False
gay,1942,True,False
cp,1889,True,False
gypsy,1872,True,True
af,1600,True,False
yellow,1417,True,False
mongol,1399,True,False
ned,1392,True,False
preto,1357,True,False
homo,1322,True,True
queer,1229,True,True
tard,1203,True,False
fruits,1127,True,False
nego,1110,True,True
birds,1098,True,False
mock,1009,True,False
tan,979,True,False
ghost,899,True,False
turk,895,True,False
pot,852,True,False
janet,825,True,False
judas,822,True,False
spades,777,True,False
mongols,773,True,False
ars,759,True,False
malo,752,True,False
shade,739,True,False
niak,703,True,False
bog,672,True,False
eggs,660,True,False
bonne,657,True,False
ghosts,628,True,False
tut,585,True,False
shades,583,True,False
yid,559,True,True
gin,541,True,False
nig,520,True,False
nega,491,True,False
shine,472,True,False
ola,465,True,False
albo,443,True,False
slope,439,True,False
gora,429,True,False
prod,422,True,False
trash,419,True,False
hora,408,True,False
domes,397,True,False
graffy,392,True,False
dinge,378,True,False
negro,373,True,True
hos,372,True,False
apples,368,True,False
969,361,True,False
abd,358,True,False
gins,339,True,False
shines,334,True,False
abo,326,True,False
ustasa,325,True,False
786,324,True,False
zip,310,True,False
hicks,304,True,True
zhid,300,True,True
khazars,294,True,False
tiger,293,True,False
def,271,True,False
arne,267,True,False
mocks,262,True,False
kas,262,True,False
guinea,258,True,False
bung,253,True,False
slant,246,True,False
retard,241,True,True
yom,238,True,False
ike,222,True,False
boo,219,True,False
khazar,219,True,False
guido,209,True,False
queens,208,True,False
pussy,202,True,True
queers,202,True,True
whore,201,True,True
bastard,186,True,False
fica,184,True,False
babi,184,True,False
slopes,181,True,False
boon,181,True,False
hadji,168,True,False
maju,167,True,False
flip,166,True,False
yids,161,True,True
mung,161,True,False
culo,159,True,False
tigers,152,True,False
spade,152,True,False
gub,151,True,False
ape,149,True,False
nana,145,True,False
pom,145,True,False
pinto,143,True,False
cabo,141,True,False
idiots,139,True,True
retarded,137,True,True
nigs,136,True,False
schwarze,128,True,False
bubbles,128,True,False
bitch,128,True,True
poot,127,True,False
fiche,126,True,False
hori,121,True,False
niger,119,True,False
saks,118,True,False
puta,113,True,False
hajji,108,True,False
naca,108,True,False
crows,107,True,False
kala,106,True,False
pute,103,True,False
sart,103,True,False
melon,102,True,False
negri,101,True,False
magi,101,True,False
suk,101,True,False
hajjis,100,True,False
div,100,True,False
dego,100,True,False
arna,99,True,False
fif,98,True,False
polack,97,True,False
cripple,97,True,True
slit,95,True,False
spike,94,True,False
bosch,94,True,False
kora,92,True,False
khokhol,91,True,True
seppo,89,True,False
moro,88,True,False
jit,87,True,False
sauvage,83,True,False
bananas,82,True,False
dyke,81,True,True
wink,80,True,False
monkeys,79,True,False
golan,77,True,False
moreno,76,True,False
belli,76,True,False
cripples,75,True,True
randi,75,True,False
soles,73,True,False
moch,72,True,False
frogs,72,True,False
globalist,70,True,False
tinker,70,True,False
zigeuner,69,True,False
whores,67,True,True
pica,66,True,False
rezun,65,True,False
teapot,62,True,False
floppy,62,True,False
apes,61,True,False
ginger,61,True,False
tinkers,60,True,False
nip,59,True,False
paddy,58,True,False
gables,58,True,False
laska,56,True,False
toad,55,True,False
snout,54,True,False
gyp,54,True,False
dogan,54,True,False
zebra,53,True,False
pedal,53,True,False
kike,52,True,True
macaroni,52,True,False
giaour,51,True,False
tans,51,True,False
puto,51,True,False
polacos,51,True,False
paki,50,True,True
blanco,50,True,False
frits,49,True,False
mof,49,True,False
goy,48,True,False
zips,48,True,False
imeet,48,True,False
cetnik,47,True,False
vaci,47,True,False
haji,46,True,False
pancakes,45,True,False
mammy,45,True,False
spooks,44,True,False
nane,43,True,False
kikes,43,True,True
blattes,42,True,False
troie,42,True,False
hebe,41,True,False
retards,41,True,True
schwarzer,40,True,False
bitches,40,True,True
gable,39,True,False
pancake,39,True,False
mongo,38,True,False
youn,38,True,False
khokhly,38,True,False
winks,38,True,False
clam,37,True,False
spikes,37,True,False
mongolen,36,True,False
nano,36,True,False
sauvages,35,True,False
slut,35,True,True
fairies,34,True,True
dres,31,True,False
pocho,30,True,False
rube,30,True,False
boos,30,True,False
mong,29,True,False
chink,29,True,True
nani,29,True,False
kunt,29,True,False
snouts,28,True,False
muk,28,True,False
chiens,28,True,False
mutt,28,True,False
spic,28,True,False
dinges,28,True,False
gew,27,True,False
coolies,27,True,False
yokel,27,True,True
janke,27,True,False
virago,27,True,False
graffi,27,True,False
papist,27,True,False
doss,26,True,False
vlah,26,True,False
behindert,26,True,False
snowflake,26,True,False
fezzes,25,True,False
yellows,25,True,False
snowflakes,24,True,False
nigger,24,True,True
slag,24,True,False
bucks,24,True,False
pato,23,True,False
majus,23,True,False
pizda,23,True,True
nichi,23,True,False
kraut,22,True,False
crackers,22,True,False
dago,22,True,False
chelo,21,True,False
pakeha,21,True,False
