word,freq,hatebase,terms
gypsies,2058,True,True
gypsy,1872,True,True
homo,1322,True,True
queer,1229,True,True
nego,1110,True,True
yid,559,True,True
negro,373,True,True
hicks,304,True,True
zhid,300,True,True
retard,241,True,True
queers,202,True,True
pussy,202,True,True
whore,201,True,True
yids,161,True,True
idiots,139,True,True
retarded,137,True,True
bitch,128,True,True
cripple,97,True,True
khokhol,91,True,True
dyke,81,True,True
cripples,75,True,True
whores,67,True,True
kike,52,True,True
paki,50,True,True
kikes,43,True,True
retards,41,True,True
bitches,40,True,True
slut,35,True,True
fairies,34,True,True
chink,29,True,True
yokel,27,True,True
nigger,24,True,True
pizda,23,True,True
chinks,21,True,True
cunt,20,True,True
blockheads,13,True,True
redneck,13,True,True
faggots,10,True,True
sluts,9,True,True
khokhols,8,True,True
zhidovka,8,True,True
feminazis,5,True,True
redskins,2,True,True
darkie,1,True,True
